;nome_microrregiao;cw_2010;cw_2021
0;Brejo Paraibano;0.16889638523026174;0.16302153239578018
1;Cajazeiras;0.2015927742039998;0.20056638642250452
2;Campina Grande;0.3371852193123102;0.34937843592147094
3;Cariri Ocidental;0.17307941087340667;0.17084071042098975
4;Cariri Oriental;0.12525298139597335;0.12450045308995396
5;Catolé do Rocha;0.1689211532437201;0.1655240565266087
6;Curimataú Ocidental;0.17187859998492072;0.16731353568773885
7;Curimataú Oriental;0.152637837998919;0.1444406137636584
8;Esperança;0.11435882691692126;0.11366755059144396
9;Guarabira;0.20055484423190756;0.19395707289304276
10;Itabaiana;0.16402869315542698;0.16001015589936454
11;Itaporanga;0.1442227952064722;0.1387382896826697
12;João Pessoa;0.47268665906259333;0.5048835626145294
13;Litoral Norte;0.1856489812420412;0.1884336620809371
14;Litoral Sul;0.1370717710593645;0.128040614092411
15;Patos;0.17385030524363512;0.17078500279069775
16;Piancó;0.1323962036408392;0.1260592886551493
17;Sapé;0.18135286310168974;0.18033383703774825
18;Seridó Ocidental Paraibano;0.09799545501161779;0.09446750495147924
19;Seridó Oriental Paraibano;0.1353671052665866;0.13317212330700898
20;Serra do Teixeira;0.17015561286661687;0.16489722724030326
21;Sousa;0.21018993717880435;0.20606630153484515
22;Umbuzeiro;0.1162794435324506;0.1121472674186829
